수량,중량,평균가,yyyy,mm,dd,산지_서천,산지_완도,산지_충무,산지_통영,산지_흑산도
203,1.0,8400,2017,5,16,0,0,0,1,0
152,1.0,8000,2017,5,17,0,0,0,1,0
246,1.0,5300,2017,5,18,0,0,0,1,0
110,1.0,9900,2017,5,19,0,0,0,1,0
586,1.0,7700,2017,5,20,0,0,0,1,0
178,1.0,10800,2017,5,22,0,0,0,1,0
197,1.0,6800,2017,5,23,0,0,0,1,0
26,1.0,10000,2017,5,24,0,0,0,1,0
56,1.0,10100,2017,5,25,0,0,0,1,0
129,1.0,8400,2017,5,26,0,0,0,1,0
206,1.0,10000,2017,5,27,0,0,0,1,0
81,1.0,9200,2017,5,29,0,0,0,1,0
9,1.0,11000,2017,5,30,0,0,0,1,0
607,1.0,8700,2017,5,31,0,0,0,1,0
138,1.0,8200,2017,6,2,0,0,0,1,0
69,1.0,8500,2017,6,3,0,0,0,1,0
560,1.0,9600,2017,6,5,0,0,0,1,0
7,1.0,15000,2017,6,6,0,0,0,1,0
152,1.0,7100,2017,6,7,0,0,0,1,0
17,1.0,10800,2017,6,8,0,0,0,1,0
270,1.0,10400,2017,6,9,0,0,0,1,0
1102,1.0,8800,2017,6,10,0,0,0,1,0
246,1.0,9400,2017,6,12,0,0,0,1,0
125,1.0,9300,2017,6,13,0,0,0,1,0
73,1.0,9300,2017,6,14,0,0,0,1,0
81,1.0,11800,2017,6,15,0,0,0,1,0
234,1.0,8200,2017,6,16,0,0,0,1,0
248,1.0,10600,2017,6,17,0,0,0,1,0
90,1.0,9400,2017,6,19,0,0,0,1,0
381,1.0,9500,2017,6,20,0,0,0,1,0
439,1.0,7600,2017,6,21,0,0,0,1,0
467,1.0,7300,2017,6,22,0,0,0,1,0
359,1.0,7700,2017,6,23,0,0,0,1,0
453,1.0,6300,2017,6,24,0,0,0,1,0
172,1.0,7200,2017,6,26,0,0,0,1,0
58,1.0,10800,2017,6,27,0,0,0,1,0
150,1.0,5800,2017,6,28,0,0,0,1,0
251,1.0,7000,2017,6,29,0,0,0,1,0
151,1.0,7700,2017,6,30,0,0,0,1,0
116,1.0,8000,2017,7,1,0,0,0,1,0
92,1.0,8600,2017,7,3,0,0,0,1,0
424,1.0,5400,2017,7,4,0,0,0,1,0
59,1.0,6700,2017,7,5,0,0,0,1,0
66,1.0,7400,2017,7,6,0,0,0,1,0
309,1.0,7900,2017,7,7,0,0,0,1,0
228,1.0,7700,2017,7,8,0,0,0,1,0
318,1.0,6900,2017,7,11,0,0,0,1,0
812,1.0,6000,2017,7,12,0,0,0,1,0
49,1.0,9300,2017,7,13,0,0,0,1,0
281,1.0,10900,2017,7,14,0,0,0,1,0
297,1.0,9700,2017,7,15,0,0,0,1,0
344,1.0,8500,2017,7,17,0,0,0,1,0
9,1.0,10000,2017,7,18,0,0,0,1,0
13,1.0,9500,2017,7,19,0,0,0,1,0
55,1.0,10600,2017,7,20,0,0,0,1,0
264,1.0,9300,2017,7,21,0,0,0,1,0
192,1.0,8500,2017,7,22,0,0,0,1,0
372,1.0,8700,2017,7,24,0,0,0,1,0
108,1.0,8800,2017,7,25,0,0,0,1,0
14,1.0,9000,2017,7,26,0,0,0,1,0
35,1.0,12100,2017,7,27,0,0,0,1,0
254,1.0,11800,2017,7,28,0,0,0,1,0
684,1.0,8900,2017,7,31,0,0,0,1,0
353,1.0,8000,2017,8,1,0,0,0,1,0
452,1.0,7800,2017,8,2,0,0,0,1,0
375,1.0,8100,2017,8,3,0,0,0,1,0
328,1.0,7200,2017,8,4,0,0,0,1,0
117,1.0,9400,2017,8,5,0,0,0,1,0
559,1.0,6600,2017,8,7,0,0,0,1,0
442,1.0,6100,2017,8,8,0,0,0,1,0
219,1.0,7300,2017,8,9,0,0,0,1,0
9,1.0,10300,2017,8,10,0,0,0,1,0
51,1.0,12200,2017,8,11,0,0,0,1,0
86,1.0,11300,2017,8,12,0,0,0,1,0
356,1.0,10700,2017,8,14,0,0,0,1,0
102,1.0,12100,2017,8,15,0,0,0,1,0
