amount,weight,avg_price,yyyy,mm,dd,origin_제주도,standard_10미,standard_20미,standard_25미,standard_5미
53570,34,4.5,155500,2017,1,14,1,1,0,0,0
53571,16,5.0,209100,2017,1,14,1,1,0,0,0
53573,5,5.0,75000,2017,1,14,1,0,1,0,0
53574,1,6.5,170000,2017,1,14,1,0,1,0,0
53580,1,2.3,60000,2017,1,14,1,0,0,0,1
53584,58,3.5,104100,2017,1,16,1,1,0,0,0
53585,13,4.0,122000,2017,1,16,1,1,0,0,0
53586,30,4.5,157000,2017,1,16,1,1,0,0,0
53587,9,5.0,218100,2017,1,16,1,1,0,0,0
53588,3,5.2,230000,2017,1,16,1,1,0,0,0
53590,20,5.0,72000,2017,1,16,1,0,1,0,0
53591,2,6.0,65000,2017,1,16,1,0,1,0,0
53592,13,6.5,160000,2017,1,16,1,0,1,0,0
53599,1,3.5,160000,2017,1,16,1,0,0,0,1
53600,1,4.5,240000,2017,1,16,1,0,0,0,1
53604,1,3.0,50000,2017,1,17,1,1,0,0,0
53605,52,3.5,93000,2017,1,17,1,1,0,0,0
53606,18,4.0,115000,2017,1,17,1,1,0,0,0
53607,28,4.5,152000,2017,1,17,1,1,0,0,0
53608,28,5.0,189600,2017,1,17,1,1,0,0,0
53609,1,6.0,230000,2017,1,17,1,1,0,0,0
53611,24,5.0,60000,2017,1,17,1,0,1,0,0
53612,11,6.0,110000,2017,1,17,1,0,1,0,0
53613,17,6.5,156800,2017,1,17,1,0,1,0,0
53617,4,5.0,310000,2017,1,17,1,0,0,0,1
53629,45,3.5,96000,2017,1,18,1,1,0,0,0
53630,19,4.0,152200,2017,1,18,1,1,0,0,0
53631,31,4.5,157300,2017,1,18,1,1,0,0,0
53632,47,5.0,212700,2017,1,18,1,1,0,0,0
53633,10,6.0,395100,2017,1,18,1,1,0,0,0
53634,9,8.0,404000,2017,1,18,1,1,0,0,0
53636,18,5.0,62800,2017,1,18,1,0,1,0,0
53637,20,6.5,160000,2017,1,18,1,0,1,0,0
53639,1,6.0,60000,2017,1,18,1,0,0,1,0
