수량,중량,평균가,yyyy,mm,dd,산지_부산(기장),산지_제주도,규격_18미,규격_20미,규격_24미,규격_26미,규격_28미,규격_중
214,18.0,30000,2017,7,27,1,0,0,1,0,0,0,0
42,18.0,40000,2017,7,28,1,0,0,1,0,0,0,0
300,18.0,20000,2017,7,31,1,0,0,1,0,0,0,0
673,18.0,19800,2017,8,1,1,0,0,1,0,0,0,0
20,18.0,30000,2017,8,2,1,0,0,1,0,0,0,0
120,18.0,49700,2017,8,3,1,0,0,1,0,0,0,0
1073,18.0,27900,2017,8,4,1,0,0,1,0,0,0,0
204,18.0,31200,2017,8,5,1,0,0,1,0,0,0,0
543,18.0,41500,2017,8,7,1,0,0,1,0,0,0,0
326,18.0,29300,2017,8,8,1,0,0,1,0,0,0,0
385,18.0,33100,2017,8,14,1,0,0,1,0,0,0,0
930,18.0,31100,2017,8,15,1,0,0,1,0,0,0,0
1366,18.0,28400,2017,8,16,1,0,0,1,0,0,0,0
561,18.0,23300,2017,8,17,1,0,0,1,0,0,0,0
333,18.0,23700,2017,8,18,1,0,0,1,0,0,0,0
245,18.0,29400,2017,8,19,1,0,0,1,0,0,0,0
522,10.0,26000,2017,8,21,1,0,0,1,0,0,0,0
314,10.0,27600,2017,8,22,1,0,0,1,0,0,0,0
159,10.0,29800,2017,8,23,1,0,0,1,0,0,0,0
264,10.0,46700,2017,8,24,1,0,0,1,0,0,0,0
528,10.0,25100,2017,8,25,1,0,0,1,0,0,0,0
40,10.0,35000,2017,8,26,1,0,0,1,0,0,0,0
580,18.0,28600,2017,8,28,1,0,0,1,0,0,0,0
745,18.0,27400,2017,8,29,1,0,0,1,0,0,0,0
592,18.0,27000,2017,8,30,1,0,0,1,0,0,0,0
260,18.0,33300,2017,8,31,1,0,0,1,0,0,0,0
529,18.0,27600,2017,9,1,1,0,0,1,0,0,0,0
482,18.0,30700,2017,9,2,1,0,0,1,0,0,0,0
63,18.0,40800,2017,9,4,1,0,0,1,0,0,0,0
944,18.0,30900,2017,9,5,1,0,0,1,0,0,0,0
1084,18.0,35800,2017,9,6,1,0,0,1,0,0,0,0
450,15.0,50700,2017,9,11,1,0,0,1,0,0,0,0
557,18.0,39400,2017,9,12,1,0,0,1,0,0,0,0
229,18.0,50500,2017,9,13,1,0,0,1,0,0,0,0
295,18.0,46300,2017,9,14,1,0,0,1,0,0,0,0
541,18.0,30000,2017,9,15,1,0,0,1,0,0,0,0
1390,18.0,29100,2017,9,16,1,0,0,1,0,0,0,0
230,18.0,29300,2017,9,18,1,0,0,1,0,0,0,0
499,18.0,25300,2017,9,19,1,0,0,1,0,0,0,0
823,18.0,27500,2017,9,20,1,0,0,1,0,0,0,0
546,18.0,23400,2017,9,21,1,0,0,1,0,0,0,0
559,18.0,23700,2017,9,22,1,0,0,1,0,0,0,0
986,18.0,22300,2017,9,23,1,0,0,1,0,0,0,0
633,18.0,19000,2017,9,25,1,0,0,1,0,0,0,0
397,18.0,31200,2017,9,26,1,0,0,1,0,0,0,0
412,18.0,29600,2017,9,27,1,0,0,1,0,0,0,0
450,18.0,25500,2017,9,28,1,0,0,1,0,0,0,0
524,18.0,26400,2017,9,29,1,0,0,1,0,0,0,0
555,18.0,33000,2017,9,30,1,0,0,1,0,0,0,0
376,18.0,22000,2017,10,1,1,0,0,1,0,0,0,0
521,18.0,31700,2017,10,2,1,0,0,1,0,0,0,0
430,18.0,25500,2017,10,3,1,0,0,1,0,0,0,0
777,18.0,32900,2017,10,10,1,0,0,1,0,0,0,0
50,13.0,32000,2017,10,11,1,0,0,1,0,0,0,0
773,18.0,30100,2017,10,11,1,0,0,1,0,0,0,0
955,18.0,28200,2017,10,12,1,0,0,1,0,0,0,0
602,18.0,30300,2017,10,13,1,0,0,1,0,0,0,0
1051,18.0,28200,2017,10,14,1,0,0,1,0,0,0,0
519,18.0,30100,2017,10,16,1,0,0,1,0,0,0,0
92,18.0,53000,2017,10,17,1,0,0,1,0,0,0,0
3,10.0,60000,2017,10,20,1,0,0,1,0,0,0,0
514,18.0,32900,2017,10,21,1,0,0,1,0,0,0,0
354,18.0,25500,2017,10,23,1,0,0,1,0,0,0,0
114,18.0,40000,2017,10,24,1,0,0,1,0,0,0,0
240,18.0,28800,2017,10,25,1,0,0,1,0,0,0,0
388,18.0,35000,2017,10,26,1,0,0,1,0,0,0,0
756,18.0,33600,2017,10,27,1,0,0,1,0,0,0,0
803,18.0,26500,2017,10,28,1,0,0,1,0,0,0,0
404,18.0,34600,2017,10,30,1,0,0,1,0,0,0,0
135,18.0,52200,2017,10,31,1,0,0,1,0,0,0,0
71,18.0,60000,2017,11,2,1,0,0,1,0,0,0,0
386,18.0,56700,2017,11,3,1,0,0,1,0,0,0,0
254,18.0,61800,2017,11,4,1,0,0,1,0,0,0,0
160,18.0,65000,2017,11,9,1,0,0,1,0,0,0,0
121,18.0,65000,2017,11,10,1,0,0,1,0,0,0,0
162,18.0,64300,2017,11,11,1,0,0,1,0,0,0,0
479,18.0,54900,2017,11,13,1,0,0,1,0,0,0,0
151,18.0,53300,2017,11,14,1,0,0,1,0,0,0,0
328,18.0,57100,2017,11,16,1,0,0,1,0,0,0,0
335,18.0,59000,2017,11,17,1,0,0,1,0,0,0,0
223,18.0,43800,2017,11,18,1,0,0,1,0,0,0,0
653,18.0,32700,2017,11,20,1,0,0,1,0,0,0,0
154,18.0,45900,2017,11,21,1,0,0,1,0,0,0,0
290,18.0,43600,2017,11,22,1,0,0,1,0,0,0,0
423,18.0,27800,2017,11,23,1,0,0,1,0,0,0,0
136,18.0,60800,2017,11,24,1,0,0,1,0,0,0,0
194,18.0,48800,2017,11,25,1,0,0,1,0,0,0,0
134,10.0,42300,2017,11,27,1,0,0,1,0,0,0,0
429,18.0,50500,2017,11,28,1,0,0,1,0,0,0,0
373,18.0,25800,2017,11,29,1,0,0,1,0,0,0,0
146,18.0,59700,2017,11,30,1,0,0,1,0,0,0,0
378,18.0,57000,2017,12,8,1,0,0,1,0,0,0,0
241,18.0,61000,2017,12,9,1,0,0,1,0,0,0,0
449,18.0,54800,2017,12,11,1,0,0,1,0,0,0,0
257,10.0,30000,2017,12,12,1,0,0,1,0,0,0,0
452,18.0,43900,2017,12,12,1,0,0,1,0,0,0,0
252,18.0,34100,2017,12,13,1,0,0,1,0,0,0,0
185,18.0,30000,2017,12,14,1,0,0,1,0,0,0,0
234,18.0,36700,2017,12,15,1,0,0,1,0,0,0,0
333,18.0,36000,2017,12,16,1,0,0,1,0,0,0,0
648,18.0,32300,2017,12,18,1,0,0,1,0,0,0,0
346,18.0,32300,2017,12,19,1,0,0,1,0,0,0,0
671,18.0,35500,2017,12,21,1,0,0,1,0,0,0,0
698,18.0,35500,2017,12,22,1,0,0,1,0,0,0,0
729,18.0,26100,2017,12,23,1,0,0,1,0,0,0,0
565,18.0,31500,2017,12,25,1,0,0,1,0,0,0,0
255,18.0,38400,2017,12,26,1,0,0,1,0,0,0,0
264,18.0,46100,2017,12,27,1,0,0,1,0,0,0,0
114,18.0,70000,2017,12,29,1,0,0,1,0,0,0,0
227,18.0,52600,2017,12,30,1,0,0,1,0,0,0,0
602,18.0,32600,2018,1,2,1,0,0,1,0,0,0,0
35,18.0,70000,2018,1,10,1,0,0,1,0,0,0,0
77,18.0,63800,2018,1,16,1,0,0,1,0,0,0,0
34,18.0,80000,2018,1,17,1,0,0,1,0,0,0,0
7,18.0,70000,2018,1,19,1,0,0,1,0,0,0,0
143,18.0,55400,2018,1,20,1,0,0,1,0,0,0,0
166,10.0,53500,2018,1,22,1,0,0,1,0,0,0,0
25,18.0,45000,2018,1,22,1,0,0,1,0,0,0,0
412,18.0,45100,2018,1,23,1,0,0,1,0,0,0,0
71,18.0,49100,2018,1,24,1,0,0,1,0,0,0,0
53,18.0,64400,2018,1,25,1,0,0,1,0,0,0,0
117,18.0,67800,2018,2,3,1,0,0,1,0,0,0,0
111,13.0,60000,2018,2,5,1,0,0,1,0,0,0,0
52,18.0,70000,2018,2,10,1,0,0,1,0,0,0,0
452,18.0,43700,2018,2,12,1,0,0,1,0,0,0,0
192,18.0,40500,2018,2,13,1,0,0,1,0,0,0,0
2,18.0,65000,2018,2,21,1,0,0,1,0,0,0,0
255,18.0,46100,2018,2,22,1,0,0,1,0,0,0,0
6,10.0,40000,2018,2,23,1,0,0,1,0,0,0,0
297,18.0,40500,2018,2,23,1,0,0,1,0,0,0,0
124,18.0,34300,2018,2,24,1,0,0,1,0,0,0,0
88,10.0,35000,2018,2,26,1,0,0,1,0,0,0,0
313,18.0,33600,2018,2,26,1,0,0,1,0,0,0,0
162,18.0,34600,2018,2,27,1,0,0,1,0,0,0,0
280,18.0,51100,2018,2,28,1,0,0,1,0,0,0,0
46,18.0,50000,2018,3,1,1,0,0,1,0,0,0,0
28,18.0,60000,2018,3,2,1,0,0,1,0,0,0,0
22,18.0,80000,2018,3,13,1,0,0,1,0,0,0,0
108,13.0,80000,2018,3,15,1,0,0,1,0,0,0,0
135,18.0,55500,2018,3,17,1,0,0,1,0,0,0,0
38,10.0,70000,2018,3,20,1,0,0,1,0,0,0,0
80,18.0,60000,2018,3,20,1,0,0,1,0,0,0,0
94,18.0,77700,2018,3,21,1,0,0,1,0,0,0,0
55,18.0,60000,2018,3,24,1,0,0,1,0,0,0,0
113,18.0,45800,2018,3,26,1,0,0,1,0,0,0,0
