amount,weight,avg_price,yyyy,mm,dd,origin_군산,origin_대천,origin_완도,standard_12/13미,standard_13/14미,standard_14/15미,standard_15/16미
5564,103,1.0,26100,2017,11,30,0,0,1,0,1,0,0
5566,104,1.0,26000,2017,11,30,0,0,1,0,0,1,0
5568,181,1.0,25200,2017,11,30,0,0,1,0,0,0,1
5583,112,1.0,26400,2017,12,1,0,0,1,1,0,0,0
5584,134,1.0,26200,2017,12,1,0,0,1,0,1,0,0
5586,135,1.0,26100,2017,12,1,0,0,1,0,0,1,0
5588,216,1.0,24800,2017,12,1,0,0,1,0,0,0,1
5604,144,1.0,25600,2017,12,2,0,0,1,1,0,0,0
5606,170,1.0,24800,2017,12,2,0,0,1,0,1,0,0
5608,91,1.0,25100,2017,12,2,0,0,1,0,0,1,0
5610,191,1.0,24800,2017,12,2,0,0,1,0,0,0,1
5630,111,1.0,24300,2017,12,4,0,0,1,1,0,0,0
5632,125,1.0,24400,2017,12,4,0,0,1,0,1,0,0
5634,102,1.0,24000,2017,12,4,0,0,1,0,0,1,0
5636,76,1.0,23400,2017,12,4,0,0,1,0,0,0,1
5643,144,1.0,26100,2017,12,5,0,0,1,1,0,0,0
5644,88,1.0,26200,2017,12,5,0,0,1,0,1,0,0
5646,88,1.0,26000,2017,12,5,0,0,1,0,0,1,0
5648,121,1.0,25400,2017,12,5,0,0,1,0,0,0,1
5663,112,1.0,25600,2017,12,6,0,0,1,1,0,0,0
5665,203,1.0,24300,2017,12,6,0,0,1,0,1,0,0
5667,111,1.0,23600,2017,12,6,0,0,1,0,0,1,0
5669,76,1.0,24700,2017,12,6,0,0,1,0,0,0,1
5682,123,1.0,26100,2017,12,7,0,0,1,1,0,0,0
5683,202,1.0,24700,2017,12,7,0,0,1,0,1,0,0
5685,77,1.0,26100,2017,12,7,0,0,1,0,0,1,0
5687,65,1.0,24200,2017,12,7,0,0,1,0,0,0,1
5703,168,1.0,26400,2017,12,8,0,0,1,1,0,0,0
5705,212,1.0,24600,2017,12,8,0,0,1,0,1,0,0
5707,56,1.0,25800,2017,12,8,0,0,1,0,0,1,0
5709,157,1.0,24300,2017,12,8,0,0,1,0,0,0,1
5723,178,1.0,25800,2017,12,9,0,0,1,1,0,0,0
5725,248,1.0,24500,2017,12,9,0,0,1,0,1,0,0
5727,112,1.0,24200,2017,12,9,0,0,1,0,0,1,0
5728,89,1.0,24400,2017,12,9,0,0,1,0,0,0,1
5744,224,1.0,23500,2017,12,11,0,0,1,1,0,0,0
5746,156,1.0,22800,2017,12,11,0,0,1,0,1,0,0
5748,137,1.0,22800,2017,12,11,0,0,1,0,0,1,0
5750,180,1.0,22200,2017,12,11,0,0,1,0,0,0,1
5763,121,1.0,26000,2017,12,12,0,0,1,1,0,0,0
5764,121,1.0,25300,2017,12,12,0,0,1,0,1,0,0
5765,100,1.0,24300,2017,12,12,0,0,1,0,0,1,0
5766,99,1.0,23900,2017,12,12,0,0,1,0,0,0,1
5783,218,1.0,24200,2017,12,13,0,0,1,1,0,0,0
5784,182,1.0,24300,2017,12,13,0,0,1,0,1,0,0
5786,236,1.0,23900,2017,12,13,0,0,1,0,0,1,0
5787,154,1.0,24300,2017,12,13,0,0,1,0,0,0,1
5804,125,1.0,26100,2017,12,14,0,0,1,1,0,0,0
5806,147,1.0,24800,2017,12,14,0,0,1,0,1,0,0
5808,189,1.0,24500,2017,12,14,0,0,1,0,0,1,0
5809,200,1.0,24200,2017,12,14,0,0,1,0,0,0,1
5823,193,1.0,26800,2017,12,15,0,0,1,1,0,0,0
5824,165,1.0,26500,2017,12,15,0,0,1,0,1,0,0
5825,113,1.0,26700,2017,12,15,0,0,1,0,0,1,0
5827,122,1.0,25700,2017,12,15,0,0,1,0,0,0,1
5845,137,1.0,27300,2017,12,16,0,0,1,1,0,0,0
5846,145,1.0,27400,2017,12,16,0,0,1,0,1,0,0
5848,113,1.0,27100,2017,12,16,0,0,1,0,0,1,0
5849,132,1.0,27300,2017,12,16,0,0,1,0,0,0,1
5864,111,1.0,27800,2017,12,18,0,0,1,1,0,0,0
5866,100,1.0,27900,2017,12,18,0,0,1,0,1,0,0
5868,58,1.0,28000,2017,12,18,0,0,1,0,0,1,0
5869,76,1.0,27100,2017,12,18,0,0,1,0,0,0,1
5883,210,1.0,26700,2017,12,19,0,0,1,1,0,0,0
5884,237,1.0,26300,2017,12,19,0,0,1,0,1,0,0
5885,137,1.0,26200,2017,12,19,0,0,1,0,0,1,0
5886,190,1.0,25800,2017,12,19,0,0,1,0,0,0,1
5904,160,1.0,25600,2017,12,20,0,0,1,1,0,0,0
5906,262,1.0,25000,2017,12,20,0,0,1,0,1,0,0
5908,91,1.0,25500,2017,12,20,0,0,1,0,0,1,0
5910,120,1.0,25100,2017,12,20,0,0,1,0,0,0,1
5924,74,1.0,24900,2017,12,21,0,0,1,1,0,0,0
5926,209,1.0,23800,2017,12,21,0,0,1,0,1,0,0
5928,103,1.0,23800,2017,12,21,0,0,1,0,0,1,0
5930,78,1.0,24300,2017,12,21,0,0,1,0,0,0,1
5944,139,1.0,25800,2017,12,22,0,0,1,1,0,0,0
5946,200,1.0,24800,2017,12,22,0,0,1,0,1,0,0
5948,181,1.0,24300,2017,12,22,0,0,1,0,0,1,0
5950,132,1.0,24100,2017,12,22,0,0,1,0,0,0,1
5967,158,1.0,25400,2017,12,23,0,0,1,1,0,0,0
5969,317,1.0,24500,2017,12,23,0,0,1,0,1,0,0
5971,110,1.0,24000,2017,12,23,0,0,1,0,0,1,0
5973,120,1.0,24400,2017,12,23,0,0,1,0,0,0,1
5984,202,1.0,24300,2017,12,25,0,0,1,1,0,0,0
5985,270,1.0,24000,2017,12,25,0,0,1,0,1,0,0
5987,266,1.0,24700,2017,12,25,0,0,1,0,0,1,0
5989,230,1.0,24000,2017,12,25,0,0,1,0,0,0,1
6004,436,1.0,23300,2017,12,26,0,0,1,1,0,0,0
6006,254,1.0,23900,2017,12,26,0,0,1,0,1,0,0
6008,54,1.0,24000,2017,12,26,0,0,1,0,0,1,0
6009,155,1.0,23600,2017,12,26,0,0,1,0,0,0,1
6023,204,1.0,23700,2017,12,27,0,0,1,1,0,0,0
6024,192,1.0,23300,2017,12,27,0,0,1,0,1,0,0
6026,335,1.0,23500,2017,12,27,0,0,1,0,0,1,0
6027,79,1.0,24000,2017,12,27,0,0,1,0,0,0,1
6043,221,1.0,24900,2017,12,28,0,0,1,1,0,0,0
6044,135,1.0,24100,2017,12,28,0,0,1,0,1,0,0
6045,103,1.0,25200,2017,12,28,0,0,1,0,0,1,0
6046,162,1.0,25200,2017,12,28,0,0,1,0,0,0,1
6063,214,1.0,24300,2017,12,29,0,0,1,1,0,0,0
6064,305,1.0,24200,2017,12,29,0,0,1,0,1,0,0
6066,146,1.0,24800,2017,12,29,0,0,1,0,0,1,0
6067,124,1.0,24600,2017,12,29,0,0,1,0,0,0,1
6083,295,1.0,25300,2017,12,30,0,0,1,1,0,0,0
6084,310,1.0,25200,2017,12,30,0,0,1,0,1,0,0
6086,136,1.0,25700,2017,12,30,0,0,1,0,0,1,0
6087,188,1.0,26700,2017,12,30,0,0,1,0,0,0,1
6103,299,1.0,26700,2018,1,2,0,0,1,1,0,0,0
6104,256,1.0,26500,2018,1,2,0,0,1,0,1,0,0
6105,157,1.0,27200,2018,1,2,0,0,1,0,0,1,0
6106,132,1.0,26500,2018,1,2,0,0,1,0,0,0,1
6123,241,1.0,24600,2018,1,3,0,0,1,1,0,0,0
6125,354,1.0,23700,2018,1,3,0,0,1,0,1,0,0
6127,149,1.0,23700,2018,1,3,0,0,1,0,0,1,0
6129,237,1.0,23700,2018,1,3,0,0,1,0,0,0,1
6145,228,1.0,24800,2018,1,4,0,0,1,1,0,0,0
6147,225,1.0,24400,2018,1,4,0,0,1,0,1,0,0
6149,205,1.0,24600,2018,1,4,0,0,1,0,0,1,0
6151,22,1.0,24000,2018,1,4,0,0,1,0,0,0,1
6164,299,1.0,23900,2018,1,5,0,0,1,1,0,0,0
6166,259,1.0,23900,2018,1,5,0,0,1,0,1,0,0
6168,295,1.0,23800,2018,1,5,0,0,1,0,0,1,0
6170,112,1.0,24100,2018,1,5,0,0,1,0,0,0,1
6183,240,1.0,22600,2018,1,6,0,0,1,1,0,0,0
6184,282,1.0,22800,2018,1,6,0,0,1,0,1,0,0
6185,293,1.0,22700,2018,1,6,0,0,1,0,0,1,0
6186,102,1.0,23400,2018,1,6,0,0,1,0,0,0,1
6204,318,1.0,23300,2018,1,8,0,0,1,1,0,0,0
6205,382,1.0,23000,2018,1,8,0,0,1,0,1,0,0
6206,161,1.0,23700,2018,1,8,0,0,1,0,0,1,0
6207,158,1.0,23300,2018,1,8,0,0,1,0,0,0,1
6224,263,1.0,22500,2018,1,9,0,0,1,1,0,0,0
6226,252,1.0,22000,2018,1,9,0,0,1,0,1,0,0
6228,137,1.0,22200,2018,1,9,0,0,1,0,0,1,0
6230,134,1.0,22000,2018,1,9,0,0,1,0,0,0,1
6244,173,1.0,24200,2018,1,10,0,0,1,1,0,0,0
6245,146,1.0,24500,2018,1,10,0,0,1,0,1,0,0
6247,55,1.0,24600,2018,1,10,0,0,1,0,0,1,0
6248,79,1.0,24000,2018,1,10,0,0,1,0,0,0,1
6264,209,1.0,23100,2018,1,11,0,0,1,1,0,0,0
6266,98,1.0,23900,2018,1,11,0,0,1,0,1,0,0
6268,45,1.0,24500,2018,1,11,0,0,1,0,0,1,0
6285,194,1.0,22800,2018,1,12,0,0,1,1,0,0,0
6287,181,1.0,22700,2018,1,12,0,0,1,0,1,0,0
6289,79,1.0,23700,2018,1,12,0,0,1,0,0,1,0
6291,66,1.0,23700,2018,1,12,0,0,1,0,0,0,1
6304,240,1.0,22400,2018,1,13,0,0,1,1,0,0,0
6306,69,1.0,24000,2018,1,13,0,0,1,0,1,0,0
6308,44,1.0,23000,2018,1,13,0,0,1,0,0,1,0
6310,113,1.0,23300,2018,1,13,0,0,1,0,0,0,1
6323,231,1.0,23200,2018,1,15,0,0,1,1,0,0,0
6324,193,1.0,23700,2018,1,15,0,0,1,0,1,0,0
6325,112,1.0,24000,2018,1,15,0,0,1,0,0,1,0
6327,83,1.0,25600,2018,1,15,0,0,1,0,0,0,1
6343,243,1.0,23300,2018,1,16,0,0,1,1,0,0,0
6345,178,1.0,23700,2018,1,16,0,0,1,0,1,0,0
6346,134,1.0,24300,2018,1,16,0,0,1,0,0,1,0
6348,145,1.0,23600,2018,1,16,0,0,1,0,0,0,1
6364,321,1.0,22600,2018,1,17,0,0,1,1,0,0,0
6365,273,1.0,22200,2018,1,17,0,0,1,0,1,0,0
6366,193,1.0,22600,2018,1,17,0,0,1,0,0,1,0
6367,102,1.0,23300,2018,1,17,0,0,1,0,0,0,1
6383,351,1.0,22300,2018,1,18,0,0,1,1,0,0,0
6384,173,1.0,22400,2018,1,18,0,0,1,0,1,0,0
6385,126,1.0,23200,2018,1,18,0,0,1,0,0,1,0
6386,160,1.0,22600,2018,1,18,0,0,1,0,0,0,1
6403,376,1.0,22400,2018,1,19,0,0,1,1,0,0,0
6404,198,1.0,22800,2018,1,19,0,0,1,0,1,0,0
6405,134,1.0,22900,2018,1,19,0,0,1,0,0,1,0
6406,149,1.0,22900,2018,1,19,0,0,1,0,0,0,1
6424,433,1.0,20800,2018,1,20,0,0,1,1,0,0,0
6426,278,1.0,21400,2018,1,20,0,0,1,0,1,0,0
6428,137,1.0,21700,2018,1,20,0,0,1,0,0,1,0
6430,116,1.0,22300,2018,1,20,0,0,1,0,0,0,1
6444,250,1.0,21200,2018,1,22,0,0,1,1,0,0,0
6446,229,1.0,21200,2018,1,22,0,0,1,0,1,0,0
6448,104,1.0,21700,2018,1,22,0,0,1,0,0,1,0
6450,58,1.0,20200,2018,1,22,0,0,1,0,0,0,1
6463,172,1.0,22200,2018,1,23,0,0,1,1,0,0,0
6464,147,1.0,22500,2018,1,23,0,0,1,0,1,0,0
6465,92,1.0,22100,2018,1,23,0,0,1,0,0,1,0
6466,101,1.0,22500,2018,1,23,0,0,1,0,0,0,1
6483,126,1.0,20000,2018,1,24,0,0,1,1,0,0,0
6485,138,1.0,19000,2018,1,24,0,0,1,0,1,0,0
6487,79,1.0,20400,2018,1,24,0,0,1,0,0,1,0
6489,95,1.0,18900,2018,1,24,0,0,1,0,0,0,1
6504,68,1.0,21300,2018,1,25,0,0,1,1,0,0,0
6506,80,1.0,21400,2018,1,25,0,0,1,0,1,0,0
6508,22,1.0,23000,2018,1,25,0,0,1,0,0,1,0
6510,23,1.0,23000,2018,1,25,0,0,1,0,0,0,1
6523,102,1.0,22400,2018,1,26,0,0,1,1,0,0,0
6525,93,1.0,21800,2018,1,26,0,0,1,0,1,0,0
6527,22,1.0,25000,2018,1,26,0,0,1,0,0,1,0
6529,34,1.0,24700,2018,1,26,0,0,1,0,0,0,1
6544,212,1.0,22000,2018,1,27,0,0,1,1,0,0,0
6546,45,1.0,24200,2018,1,27,0,0,1,0,1,0,0
6548,33,1.0,24300,2018,1,27,0,0,1,0,0,1,0
6550,59,1.0,23900,2018,1,27,0,0,1,0,0,0,1
6565,115,1.0,21900,2018,1,29,0,0,1,1,0,0,0
6567,44,1.0,23000,2018,1,29,0,0,1,0,1,0,0
6569,33,1.0,24000,2018,1,29,0,0,1,0,0,1,0
6571,104,1.0,22900,2018,1,29,0,0,1,0,0,0,1
6585,124,1.0,23900,2018,1,30,0,0,1,1,0,0,0
6587,103,1.0,24200,2018,1,30,0,0,1,0,1,0,0
6590,22,1.0,26000,2018,1,30,0,0,1,0,0,0,1
6604,149,1.0,22300,2018,1,31,0,0,1,1,0,0,0
6606,130,1.0,21500,2018,1,31,0,0,1,0,1,0,0
6608,125,1.0,22100,2018,1,31,0,0,1,0,0,1,0
6610,156,1.0,21400,2018,1,31,0,0,1,0,0,0,1
6624,69,1.0,20500,2018,2,1,0,0,1,1,0,0,0
6626,196,1.0,19900,2018,2,1,0,0,1,0,1,0,0
6628,58,1.0,21500,2018,2,1,0,0,1,0,0,1,0
6630,12,1.0,21000,2018,2,1,0,0,1,0,0,0,1
6644,70,1.0,24200,2018,2,2,0,0,1,1,0,0,0
6646,117,1.0,23300,2018,2,2,0,0,1,0,1,0,0
6648,69,1.0,23200,2018,2,2,0,0,1,0,0,1,0
6650,23,1.0,23000,2018,2,2,0,0,1,0,0,0,1
6664,116,1.0,21900,2018,2,3,0,0,1,1,0,0,0
6666,214,1.0,22600,2018,2,3,0,0,1,0,1,0,0
6668,69,1.0,23000,2018,2,3,0,0,1,0,0,1,0
6670,36,1.0,24000,2018,2,3,0,0,1,0,0,0,1
6684,92,1.0,24100,2018,2,5,0,0,1,1,0,0,0
6686,139,1.0,23400,2018,2,5,0,0,1,0,1,0,0
6688,82,1.0,24300,2018,2,5,0,0,1,0,0,1,0
6690,12,1.0,24000,2018,2,5,0,0,1,0,0,0,1
6703,141,1.0,22700,2018,2,6,0,0,1,1,0,0,0
6705,176,1.0,21900,2018,2,6,0,0,1,0,1,0,0
6707,163,1.0,21500,2018,2,6,0,0,1,0,0,1,0
6709,12,1.0,23000,2018,2,6,0,0,1,0,0,0,1
6722,140,1.0,23300,2018,2,7,0,0,1,1,0,0,0
6724,92,1.0,23500,2018,2,7,0,0,1,0,1,0,0
6726,34,1.0,23700,2018,2,7,0,0,1,0,0,1,0
6744,218,1.0,24500,2018,2,8,0,0,1,1,0,0,0
6746,172,1.0,24300,2018,2,8,0,0,1,0,1,0,0
6748,124,1.0,24200,2018,2,8,0,0,1,0,0,1,0
6750,46,1.0,24000,2018,2,8,0,0,1,0,0,0,1
6764,174,1.0,26100,2018,2,9,0,0,1,1,0,0,0
6766,172,1.0,25500,2018,2,9,0,0,1,0,1,0,0
6768,150,1.0,25400,2018,2,9,0,0,1,0,0,1,0
6770,58,1.0,25600,2018,2,9,0,0,1,0,0,0,1
6784,161,1.0,26700,2018,2,10,0,0,1,1,0,0,0
6786,138,1.0,26500,2018,2,10,0,0,1,0,1,0,0
6788,151,1.0,25500,2018,2,10,0,0,1,0,0,1,0
6790,114,1.0,25600,2018,2,10,0,0,1,0,0,0,1
6804,112,1.0,27000,2018,2,12,0,0,1,1,0,0,0
6806,117,1.0,26900,2018,2,12,0,0,1,0,1,0,0
6808,149,1.0,26600,2018,2,12,0,0,1,0,0,1,0
6810,148,1.0,26400,2018,2,12,0,0,1,0,0,0,1
6824,463,1.0,25800,2018,2,13,0,0,1,1,0,0,0
6826,241,1.0,25700,2018,2,13,0,0,1,0,1,0,0
6828,163,1.0,25600,2018,2,13,0,0,1,0,0,1,0
6830,22,1.0,27000,2018,2,13,0,0,1,0,0,0,1
6844,199,1.0,25300,2018,2,14,0,0,1,1,0,0,0
6846,401,1.0,25600,2018,2,14,0,0,1,0,1,0,0
6848,157,1.0,25900,2018,2,14,0,0,1,0,0,1,0
6850,78,1.0,26600,2018,2,14,0,0,1,0,0,0,1
6864,227,1.0,21700,2018,2,15,0,0,1,1,0,0,0
6866,228,1.0,20900,2018,2,15,0,0,1,0,1,0,0
6868,12,1.0,23000,2018,2,15,0,0,1,0,0,1,0
6882,22,1.0,27000,2018,2,19,0,0,1,1,0,0,0
6883,22,1.0,26000,2018,2,19,0,0,1,0,1,0,0
6884,46,1.0,26000,2018,2,19,0,0,1,0,0,1,0
6886,45,1.0,25500,2018,2,19,0,0,1,0,0,0,1
6903,215,1.0,24700,2018,2,20,0,0,1,1,0,0,0
6905,200,1.0,24800,2018,2,20,0,0,1,0,1,0,0
6906,100,1.0,24900,2018,2,20,0,0,1,0,0,1,0
6907,80,1.0,24300,2018,2,20,0,0,1,0,0,0,1
6925,84,1.0,25200,2018,2,21,0,0,1,1,0,0,0
6926,115,1.0,24800,2018,2,21,0,0,1,0,1,0,0
6927,58,1.0,24600,2018,2,21,0,0,1,0,0,1,0
6928,68,1.0,25100,2018,2,21,0,0,1,0,0,0,1
6943,204,1.0,24300,2018,2,22,0,0,1,1,0,0,0
6944,152,1.0,23000,2018,2,22,0,0,1,0,1,0,0
6946,11,1.0,25000,2018,2,22,0,0,1,0,0,1,0
6948,82,1.0,21500,2018,2,22,0,0,1,0,0,0,1
6964,201,1.0,23300,2018,2,23,0,0,1,1,0,0,0
6966,274,1.0,23000,2018,2,23,0,0,1,0,1,0,0
6968,146,1.0,24300,2018,2,23,0,0,1,0,0,1,0
6970,208,1.0,22700,2018,2,23,0,0,1,0,0,0,1
6983,218,1.0,24800,2018,2,24,0,0,1,1,0,0,0
6984,159,1.0,24600,2018,2,24,0,0,1,0,1,0,0
6985,151,1.0,24300,2018,2,24,0,0,1,0,0,1,0
6987,184,1.0,24100,2018,2,24,0,0,1,0,0,0,1
7004,126,1.0,23900,2018,2,26,0,0,1,1,0,0,0
7006,138,1.0,24100,2018,2,26,0,0,1,0,1,0,0
7008,67,1.0,23700,2018,2,26,0,0,1,0,0,1,0
7010,103,1.0,23200,2018,2,26,0,0,1,0,0,0,1
7024,149,1.0,22800,2018,2,27,0,0,1,1,0,0,0
7026,112,1.0,22100,2018,2,27,0,0,1,0,1,0,0
7028,123,1.0,22200,2018,2,27,0,0,1,0,0,1,0
7030,102,1.0,21700,2018,2,27,0,0,1,0,0,0,1
7045,137,1.0,22700,2018,2,28,0,0,1,1,0,0,0
7047,34,1.0,24000,2018,2,28,0,0,1,0,1,0,0
7049,150,1.0,23500,2018,2,28,0,0,1,0,0,1,0
7051,134,1.0,22600,2018,2,28,0,0,1,0,0,0,1
7064,160,1.0,23600,2018,3,1,0,0,1,1,0,0,0
7066,159,1.0,23600,2018,3,1,0,0,1,0,1,0,0
7068,149,1.0,24000,2018,3,1,0,0,1,0,0,1,0
7069,102,1.0,23700,2018,3,1,0,0,1,0,0,0,1
7084,70,1.0,23000,2018,3,2,0,0,1,1,0,0,0
7086,193,1.0,24300,2018,3,2,0,0,1,0,1,0,0
7088,33,1.0,24700,2018,3,2,0,0,1,0,0,1,0
7089,45,1.0,22600,2018,3,2,0,0,1,0,0,0,1
7104,171,1.0,23500,2018,3,3,0,0,1,1,0,0,0
7106,172,1.0,23500,2018,3,3,0,0,1,0,1,0,0
7108,55,1.0,24200,2018,3,3,0,0,1,0,0,1,0
7109,66,1.0,24300,2018,3,3,0,0,1,0,0,0,1
7124,146,1.0,24200,2018,3,5,0,0,1,1,0,0,0
7126,125,1.0,23900,2018,3,5,0,0,1,0,1,0,0
7128,101,1.0,24200,2018,3,5,0,0,1,0,0,1,0
7129,124,1.0,23700,2018,3,5,0,0,1,0,0,0,1
7144,101,1.0,24100,2018,3,6,0,0,1,1,0,0,0
7146,80,1.0,23600,2018,3,6,0,0,1,0,1,0,0
7148,79,1.0,24400,2018,3,6,0,0,1,0,0,1,0
7150,68,1.0,24700,2018,3,6,0,0,1,0,0,0,1
7165,170,1.0,24000,2018,3,7,0,0,1,1,0,0,0
7167,148,1.0,23400,2018,3,7,0,0,1,0,1,0,0
7169,102,1.0,24200,2018,3,7,0,0,1,0,0,1,0
7170,104,1.0,23900,2018,3,7,0,0,1,0,0,0,1
7184,198,1.0,23600,2018,3,8,0,0,1,1,0,0,0
7186,82,1.0,23800,2018,3,8,0,0,1,0,1,0,0
7188,11,1.0,24000,2018,3,8,0,0,1,0,0,1,0
7190,48,1.0,24000,2018,3,8,0,0,1,0,0,0,1
7204,219,1.0,22800,2018,3,9,0,0,1,1,0,0,0
7206,174,1.0,23000,2018,3,9,0,0,1,0,1,0,0
7208,147,1.0,23800,2018,3,9,0,0,1,0,0,1,0
7210,191,1.0,24000,2018,3,9,0,0,1,0,0,0,1
7224,349,1.0,23000,2018,3,10,0,0,1,1,0,0,0
7225,165,1.0,22900,2018,3,10,0,0,1,0,1,0,0
7226,175,1.0,23100,2018,3,10,0,0,1,0,0,1,0
7227,59,1.0,23800,2018,3,10,0,0,1,0,0,0,1
7243,119,1.0,24000,2018,3,12,0,0,1,1,0,0,0
7244,152,1.0,24100,2018,3,12,0,0,1,0,1,0,0
7246,120,1.0,24100,2018,3,12,0,0,1,0,0,1,0
7248,93,1.0,23900,2018,3,12,0,0,1,0,0,0,1
7264,176,1.0,22800,2018,3,13,0,0,1,1,0,0,0
7265,206,1.0,22600,2018,3,13,0,0,1,0,1,0,0
7267,170,1.0,22800,2018,3,13,0,0,1,0,0,1,0
7268,169,1.0,22600,2018,3,13,0,0,1,0,0,0,1
7284,161,1.0,23400,2018,3,14,0,0,1,1,0,0,0
7286,140,1.0,23100,2018,3,14,0,0,1,0,1,0,0
7288,105,1.0,23100,2018,3,14,0,0,1,0,0,1,0
7290,59,1.0,24400,2018,3,14,0,0,1,0,0,0,1
7303,199,1.0,22900,2018,3,15,0,0,1,1,0,0,0
7305,106,1.0,22400,2018,3,15,0,0,1,0,1,0,0
7307,94,1.0,22600,2018,3,15,0,0,1,0,0,1,0
7309,85,1.0,22100,2018,3,15,0,0,1,0,0,0,1
7324,281,1.0,22800,2018,3,16,0,0,1,1,0,0,0
7326,195,1.0,23300,2018,3,16,0,0,1,0,1,0,0
7327,145,1.0,24100,2018,3,16,0,0,1,0,0,1,0
7329,221,1.0,23600,2018,3,16,0,0,1,0,0,0,1
7343,304,1.0,23100,2018,3,17,0,0,1,1,0,0,0
7345,160,1.0,23400,2018,3,17,0,0,1,0,1,0,0
7347,111,1.0,23200,2018,3,17,0,0,1,0,0,1,0
7349,125,1.0,23600,2018,3,17,0,0,1,0,0,0,1
7364,120,1.0,22700,2018,3,19,0,0,1,1,0,0,0
7365,165,1.0,23200,2018,3,19,0,0,1,0,1,0,0
7367,93,1.0,23600,2018,3,19,0,0,1,0,0,1,0
7369,91,1.0,23700,2018,3,19,0,0,1,0,0,0,1
7384,307,1.0,21800,2018,3,20,0,0,1,1,0,0,0
7386,287,1.0,22100,2018,3,20,0,0,1,0,1,0,0
7388,219,1.0,21900,2018,3,20,0,0,1,0,0,1,0
7390,114,1.0,22300,2018,3,20,0,0,1,0,0,0,1
7404,160,1.0,21600,2018,3,21,0,0,1,1,0,0,0
7406,281,1.0,22300,2018,3,21,0,0,1,0,1,0,0
7408,127,1.0,21400,2018,3,21,0,0,1,0,0,1,0
7410,135,1.0,21300,2018,3,21,0,0,1,0,0,0,1
7424,126,1.0,21400,2018,3,22,0,0,1,1,0,0,0
7426,117,1.0,21700,2018,3,22,0,0,1,0,1,0,0
7428,105,1.0,22000,2018,3,22,0,0,1,0,0,1,0
7429,23,1.0,24000,2018,3,22,0,0,1,0,0,0,1
7444,182,1.0,22700,2018,3,23,0,0,1,1,0,0,0
7446,237,1.0,23400,2018,3,23,0,0,1,0,1,0,0
7448,111,1.0,23800,2018,3,23,0,0,1,0,0,1,0
7449,123,1.0,23400,2018,3,23,0,0,1,0,0,0,1
7464,262,1.0,21800,2018,3,24,0,0,1,1,0,0,0
7466,195,1.0,22700,2018,3,24,0,0,1,0,1,0,0
7468,249,1.0,23100,2018,3,24,0,0,1,0,0,1,0
7469,88,1.0,22300,2018,3,24,0,0,1,0,0,0,1
7484,174,1.0,21400,2018,3,26,0,0,1,1,0,0,0
7486,258,1.0,22900,2018,3,26,0,0,1,0,1,0,0
7488,167,1.0,22500,2018,3,26,0,0,1,0,0,1,0
7489,101,1.0,22200,2018,3,26,0,0,1,0,0,0,1
7504,114,1.0,23100,2018,3,27,0,0,1,1,0,0,0
7506,216,1.0,23000,2018,3,27,0,0,1,0,1,0,0
7508,105,1.0,23300,2018,3,27,0,0,1,0,0,1,0
7510,47,1.0,23000,2018,3,27,0,0,1,0,0,0,1
7524,108,1.0,22000,2018,3,28,0,0,1,1,0,0,0
7526,153,1.0,22800,2018,3,28,0,0,1,0,1,0,0
7528,126,1.0,22900,2018,3,28,0,0,1,0,0,1,0
7529,111,1.0,22400,2018,3,28,0,0,1,0,0,0,1
7545,141,1.0,21000,2018,3,29,0,0,1,1,0,0,0
7547,80,1.0,22400,2018,3,29,0,0,1,0,1,0,0
7549,226,1.0,24000,2018,3,29,0,0,1,0,0,1,0
7550,79,1.0,20900,2018,3,29,0,0,1,0,0,0,1
7564,118,1.0,23500,2018,3,30,0,0,1,1,0,0,0
7565,103,1.0,23100,2018,3,30,0,0,1,0,1,0,0
7567,104,1.0,22900,2018,3,30,0,0,1,0,0,1,0
7569,34,1.0,22700,2018,3,30,0,0,1,0,0,0,1
7584,141,1.0,22900,2018,3,31,0,0,1,1,0,0,0
7585,116,1.0,22800,2018,3,31,0,0,1,0,1,0,0
7587,105,1.0,22900,2018,3,31,0,0,1,0,0,1,0
7589,67,1.0,23000,2018,3,31,0,0,1,0,0,0,1
7603,94,1.0,24700,2018,4,2,0,0,1,1,0,0,0
7604,118,1.0,24300,2018,4,2,0,0,1,0,1,0,0
7606,117,1.0,24800,2018,4,2,0,0,1,0,0,1,0
7608,34,1.0,25000,2018,4,2,0,0,1,0,0,0,1
7623,95,1.0,23100,2018,4,3,0,0,1,1,0,0,0
7624,59,1.0,22600,2018,4,3,0,0,1,0,1,0,0
7626,116,1.0,25000,2018,4,3,0,0,1,0,0,1,0
7628,177,1.0,24400,2018,4,3,0,0,1,0,0,0,1
7645,198,1.0,22100,2018,4,4,0,0,1,1,0,0,0
7647,93,1.0,22400,2018,4,4,0,0,1,0,1,0,0
7649,126,1.0,22800,2018,4,4,0,0,1,0,0,1,0
7651,59,1.0,21200,2018,4,4,0,0,1,0,0,0,1
7664,217,1.0,21700,2018,4,5,0,0,1,1,0,0,0
7666,79,1.0,21600,2018,4,5,0,0,1,0,1,0,0
7668,147,1.0,22100,2018,4,5,0,0,1,0,0,1,0
7670,82,1.0,22700,2018,4,5,0,0,1,0,0,0,1
7684,465,1.0,20200,2018,4,6,0,0,1,1,0,0,0
7686,117,1.0,20700,2018,4,6,0,0,1,0,1,0,0
7688,68,1.0,21000,2018,4,6,0,0,1,0,0,1,0
