날짜,어종,산지,규격,포장,수량,중량,평균가
2022-02-11,(냉)고등어,노르웨이,300/500,CT/(BT),65,20,"75,600"
2022-02-11,(냉)고등어,노르웨이,400/600,CT/(BT),10,20,"76,700"
2022-02-11,(선)고등어,제주도,11미,S/P,1,10,"33,000"
2022-02-11,(선)고등어,제주도,15미,S/P,2,10,"20,000"
2022-02-11,(선)고등어,제주도,18미,S/P,1,10,"22,000"
2022-02-12,(냉)고등어,노르웨이,400/600,CT/(BT),20,20,"77,500"
2022-02-12,(냉)고등어,제주도,20미,CT/(BT),18,12,"48,000"
2022-02-12,(냉)염고등어,기타(국내),소,CT/(BT),50,10,"21,000"
2022-02-12,(냉)염고등어,기타(국내),중,CT/(BT),50,11.5,"25,900"
2022-02-12,(선)고등어,부산(기장),22미,S/P,23,15,"63,300"
2022-02-12,(선)고등어,부산(기장),30미,S/P,5,15,"35,000"
2022-02-12,(선)고등어,제주도,중,S/P,18,9,"36,300"
2022-02-14,(선)고등어,부산(기장),22미,S/P,30,15,"49,300"
2022-02-14,(선)고등어,부산(기장),30미,S/P,53,15,"25,000"
2022-02-14,(선)고등어,부산(기장),38미,S/P,25,15,"16,000"
2022-02-14,(선)고등어,제주도,10미,S/P,5,10,"35,000"
2022-02-14,(선)고등어,제주도,13미,S/P,16,10,"50,800"
2022-02-14,(선)고등어,제주도,18미,S/P,6,10,"29,000"
2022-02-14,(선)고등어,제주도,20미,S/P,2,10,"55,000"
2022-02-14,(선)고등어,제주도,6미,S/P,2,10,"33,000"
2022-02-14,(선)고등어,제주도,9미,S/P,1,10,"33,000"
2022-02-14,(선)고등어,제주도,대,S/P,45,10,"38,400"
2022-02-14,(선)고등어,제주도,중,S/P,1,10,"18,000"
2022-02-15,(냉)고등어,노르웨이,400/600,CT/(BT),30,20,"74,600"
2022-02-15,(냉)염고등어,노르웨이,10손,CT/(BT),50,7,"38,900"
2022-02-15,(냉)염고등어,노르웨이,중,CT/(BT),20,7,"31,000"
2022-02-15,(선)고등어,부산(기장),20미,S/P,50,15,"37,200"
2022-02-15,(선)고등어,부산(기장),24미,S/P,30,15,"34,000"
2022-02-15,(선)고등어,부산(기장),26미,S/P,9,15,"35,000"
2022-02-15,(선)고등어,제주도,중,S/P,39,15,"26,000"
2022-02-16,(냉)고등어,노르웨이,400/600,CT/(BT),10,20,"74,600"
2022-02-16,(냉)염고등어,노르웨이,8손,CT/(BT),50,7,"32,700"
2022-02-16,(선)고등어,부산(기장),18미,S/P,43,15,"35,000"
2022-02-16,(선)고등어,부산(기장),20미,S/P,38,15,"30,000"
2022-02-16,(선)고등어,부산(기장),26미,S/P,21,15,"30,000"
2022-02-16,(선)고등어,부산(기장),30미,S/P,36,15,"10,400"
2022-02-16,(선)고등어,제주도,중,S/P,24,15,"19,800"
2022-02-17,(냉)고등어,노르웨이,300/500,CT/(BT),50,20,"76,200"
2022-02-17,(냉)고등어,노르웨이,400/600,CT/(BT),10,20,"76,700"
2022-02-18,(냉)고등어,노르웨이,300/500,CT/(BT),50,20,"76,200"
2022-02-18,(냉)고등어,노르웨이,400/600,CT/(BT),108,20,"76,700"
2022-02-18,(냉)고등어,부산(기장),18미,CT/(BT),50,10,"46,000"
2022-02-19,(냉)고등어,노르웨이,400/600,CT/(BT),500,20,"76,400"
2022-02-22,(냉)고등어,노르웨이,300/500,CT/(BT),10,20,"76,600"
2022-02-22,(냉)염고등어,노르웨이,8손,CT/(BT),20,7,"32,700"
2022-02-22,(냉)염고등어,노르웨이,대,CT/(BT),50,7,"38,500"
2022-02-22,(냉)염고등어,노르웨이,특대,CT/(BT),150,7.5,"39,200"
2022-02-22,(선)고등어,제주도,20미,S/P,1,10,"24,000"
2022-02-23,(냉)고등어,노르웨이,300/500,CT/(BT),130,20,"76,600"
2022-02-23,(냉)고등어,노르웨이,400/600,CT/(BT),30,20,"75,100"
2022-02-23,(냉)염고등어,노르웨이,대,CT/(BT),50,7,"38,500"
2022-02-23,(냉)염고등어,노르웨이,특대,CT/(BT),101,7.5,"39,800"
2022-02-23,(선)고등어,제주도,대,S/P,7,8,"90,600"
2022-02-24,(냉)고등어,노르웨이,400/600,CT/(BT),50,20,"73,300"
