날짜,어종,산지,규격,포장,수량,중량,평균가
2017-05-10,(활)왕게,러시아,중,kg,756,1.0,47600
2017-05-11,(활)왕게,러시아,중,kg,81,1.0,41000
2017-05-12,(활)왕게,러시아,중,kg,203,1.0,52100
2017-05-13,(활)왕게,러시아,중,kg,1020,1.0,52900
2017-05-15,(활)왕게,러시아,중,kg,263,1.0,51200
2017-05-16,(활)왕게,러시아,중,kg,868,1.0,46000
2017-05-17,(활)왕게,러시아,중,kg,700,1.0,40900
2017-05-18,(활)왕게,러시아,중,kg,199,1.0,42600
2017-05-19,(활)왕게,러시아,중,kg,595,1.0,38900
2017-05-20,(활)왕게,러시아,중,kg,395,1.0,43500
2017-05-22,(활)왕게,러시아,중,kg,488,1.0,42300
2017-05-23,(활)왕게,러시아,중,kg,542,1.0,38300
2017-05-24,(활)왕게,러시아,중,kg,1232,1.0,31500
2017-05-25,(활)왕게,러시아,중,kg,244,1.0,31100
2017-05-26,(활)왕게,러시아,중,kg,1331,1.0,34800
2017-05-27,(활)왕게,러시아,중,kg,358,1.0,35800
2017-05-29,(활)왕게,러시아,중,kg,216,1.0,35700
2017-05-30,(활)왕게,러시아,중,kg,227,1.0,42100
2017-05-31,(활)왕게,러시아,중,kg,111,1.0,43400
2017-06-01,(활)왕게,러시아,중,kg,70,1.0,36300
2017-06-02,(활)왕게,러시아,중,kg,278,1.0,44200
2017-06-03,(활)왕게,러시아,중,kg,1061,1.0,47200
2017-06-05,(활)왕게,러시아,중,kg,612,1.0,47800
2017-06-06,(활)왕게,러시아,중,kg,1250,1.0,29300
2017-06-07,(활)왕게,러시아,중,kg,10,1.0,51000
2017-06-09,(활)왕게,러시아,중,kg,1265,1.0,36300
2017-06-10,(활)왕게,러시아,중,kg,674,1.0,35300
2017-06-12,(활)왕게,러시아,중,kg,675,1.0,33600
2017-06-13,(활)왕게,러시아,중,kg,206,1.0,29700
2017-06-14,(활)왕게,러시아,중,kg,397,1.0,41900
2017-06-15,(활)왕게,러시아,중,kg,302,1.0,42300
2017-06-16,(활)왕게,러시아,중,kg,1436,1.0,41400
2017-06-17,(활)왕게,러시아,중,kg,1186,1.0,37500
2017-06-19,(활)왕게,러시아,중,kg,615,1.0,18300
2017-06-20,(활)왕게,러시아,중,kg,972,1.0,34700
2017-06-21,(활)왕게,러시아,중,kg,359,1.0,28900
2017-06-22,(활)왕게,러시아,중,kg,149,1.0,35800
2017-06-23,(활)왕게,러시아,중,kg,170,1.0,25700
2017-06-24,(활)왕게,러시아,중,kg,988,1.0,40500
2017-06-26,(활)왕게,러시아,중,kg,723,1.0,29600
2017-06-27,(활)왕게,러시아,중,kg,297,1.0,34000
2017-06-28,(활)왕게,러시아,중,kg,235,1.0,30800
2017-06-29,(활)왕게,러시아,중,kg,35,1.0,34600
2017-06-30,(활)왕게,러시아,중,kg,31,1.0,52600
2017-07-01,(활)왕게,러시아,중,kg,609,1.0,57800
2017-07-03,(활)왕게,러시아,중,kg,121,1.0,56100
2017-07-05,(활)왕게,러시아,중,kg,113,1.0,55300
2017-07-06,(활)왕게,러시아,중,kg,562,1.0,35800
2017-07-07,(활)왕게,러시아,중,kg,228,1.0,45700
2017-07-08,(활)왕게,러시아,중,kg,638,1.0,57000
2017-07-10,(활)왕게,러시아,중,kg,363,1.0,39700
2017-07-11,(활)왕게,러시아,중,kg,230,1.0,44000
2017-07-14,(활)왕게,러시아,중,kg,222,1.0,46300
2017-07-15,(활)왕게,러시아,중,kg,810,1.0,42200
2017-07-17,(활)왕게,러시아,중,kg,375,1.0,29800
2017-07-18,(활)왕게,러시아,중,kg,18,1.0,57000
2017-07-19,(활)왕게,러시아,중,kg,494,1.0,34700
